business_id	target_canonical	numbered_legacy_1	numbered_legacy_2	action	expected_slot_delta	protection_rule
07	07-personal-meaning-map	ai-revenue-business-07-personal-meaning-map	arl-review-b07-personal-meaning-map	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
08	08-family-newspaper	ai-revenue-business-08-family-newspaper	arl-review-b08-family-newspaper	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
09	09-personalized-childrens-story	ai-revenue-business-09-childrens-story	arl-review-b09-personalized-childrens-story	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
10	10-fan-magazine	ai-revenue-business-10-fan-magazine	arl-review-b10-fan-magazine	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
11	11-language-learning-magazine	ai-revenue-business-11-language-magazine	arl-review-b11-language-learning-magazine	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
12	12-creator-mini-media	ai-revenue-business-12-creator-mini-media	arl-review-b12-creator-mini-media	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
15	15-global-ai-newsroom	ai-revenue-business-15-global-ai-newsroom	arl-review-b15-global-ai-newsroom	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
16	16-personal-sports	ai-revenue-business-16-personal-sports	arl-review-b16-personal-sports	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
17	17-local-shop-magazine	ai-revenue-business-17-local-shop-magazine	arl-review-b17-local-shop-magazine	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
18	18-personal-audio-channel	ai-revenue-business-18-personal-audio-channel	arl-review-b18-personal-audio-channel	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
19	19-personal-memory-book	ai-revenue-business-19-personal-memory-book	arl-review-b19-personal-memory-book	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
20	20-personal-memory-novel	ai-revenue-business-20-personal-memory-novel	arl-review-b20-personal-memory-novel	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
21	21-founder-strategy-letter	ai-revenue-business-21-founder-strategy-letter	arl-review-b21-founder-strategy-letter	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
22	22-personal-media-studio	ai-revenue-business-22-personal-media-studio	arl-review-b22-personal-media-studio	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
29	29-apartment-governance	ai-revenue-business-29-governance-tutorial	ai-revenue-business-29-apartment-governance	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
